base_scenario,n_replicates,n_finished_target,lambda_a_1,lambda_a_T,lambda_a_c,lambda_a_T_over_lambda_a_c,lambda_d,beta_a_R,beta_a_T,beta_d_R,beta_d_T,fraction_t_zone_binomial_p_value_below_0p05,total_time_for_analyzed_1000_deaths_after_burnin_mean,total_time_for_analyzed_1000_deaths_after_burnin_std,total_time_for_analyzed_1000_deaths_after_burnin_min,total_time_for_analyzed_1000_deaths_after_burnin_max,observed_death_rate_after_burnin_mean,observed_death_rate_after_burnin_std,observed_death_rate_after_burnin_min,observed_death_rate_after_burnin_max,t_zone_observed_deaths_mean,t_zone_observed_deaths_std,t_zone_observed_deaths_min,t_zone_observed_deaths_max,t_zone_observed_fraction_mean,t_zone_observed_fraction_std,t_zone_observed_fraction_min,t_zone_observed_fraction_max,t_zone_density_ratio_mean,t_zone_density_ratio_std,t_zone_density_ratio_min,t_zone_density_ratio_max,t_zone_binomial_p_value_greater_mean,t_zone_binomial_p_value_greater_std,t_zone_binomial_p_value_greater_min,t_zone_binomial_p_value_greater_max,death_rejected_mean,death_rejected_std,death_rejected_min,death_rejected_max,accepted_activations_total_mean,accepted_activations_total_std,accepted_activations_total_min,accepted_activations_total_max
baseline,5,5,5.0,0.5,0.05,10.0,1.0,2.5,1.2,2.0,0.8,0.2,24.151786942749386,1.06002158630585,22.788834832439218,25.511684599084084,41.46891723849853,1.8270465889717833,39.197725109689614,43.881137730505216,437.4,22.367386973001565,416.0,475.0,0.43739999999999996,0.02236738697300156,0.416,0.475,0.9747523614226596,0.09200618060575824,0.8904109589041095,1.1309523809523807,0.6720569969899862,0.37257274150236974,0.02806467620653908,0.9674976465135723,2341.0,123.41596331107253,2195.0,2512.0,16965.2,597.1111286854399,16172.0,17587.0
higher_death_rate,5,5,5.0,0.5,0.05,10.0,1.5,2.5,1.2,2.0,0.8,0.2,20.37856457523081,1.3655394970791586,18.755832022611862,21.913367552028053,49.24727699129334,3.2877137614260734,45.63424574638011,53.31674962723109,443.8,19.601020381602584,427.0,472.0,0.4438,0.019601020381602583,0.427,0.472,0.9996691949447845,0.0807517509753637,0.9315008726003488,1.1174242424242422,0.5462959204019615,0.3809870144580131,0.04273593670706721,0.8733495341640354,3321.4,336.0331828852621,2971.0,3776.0,14187.0,780.2906509756476,13469.0,15152.0
larger_ERK_radius,5,5,5.0,0.5,0.05,10.0,1.0,2.5,1.2,1.0,0.8,0.0,55.499849436465,5.8729102454843165,50.31596132054895,65.1036094426575,18.167834729421365,1.7733536282041726,15.360131466762812,19.874409109055456,416.8,9.884331034521255,402.0,427.0,0.4168,0.009884331034521243,0.402,0.427,0.8938353239615259,0.036014200680588734,0.8403010033444813,0.9315008726003488,0.9434016587506285,0.04889302801038726,0.8733495341640354,0.9969482481550765,6868.4,364.27297456715064,6487.0,7393.0,38814.0,1844.5466922797048,36400.0,41328.0
shorter_ERK_duration,5,5,5.0,0.5,0.05,10.0,1.0,2.5,1.2,2.0,2.0,0.0,16.680983047978714,0.4738728482360023,16.087654279746218,17.354284885043366,59.98700117847287,1.6944338478979701,57.62265668819583,62.15946604838247,441.0,14.983324063771697,428.0,465.0,0.441,0.01498332406377171,0.428,0.465,0.9874493319377857,0.06126003677629751,0.9353146853146851,1.086448598130841,0.596210095412699,0.31139155403097535,0.1010382018520014,0.8596051460596722,1225.8,53.78382656524171,1165.0,1313.0,11855.8,445.3803992094847,11343.0,12279.0
stronger_T_zone_activation,5,5,5.0,1.0,0.05,20.0,1.0,2.5,1.2,2.0,0.8,0.0,24.842150887534082,1.8831051896328725,22.77451475348316,27.15779558948178,40.43720114497286,3.0207838468532806,36.821839854605145,43.908729157316465,421.4,30.826936273330826,369.0,445.0,0.42139999999999994,0.030826936273330833,0.369,0.445,0.9150510581725829,0.10947851060498427,0.7309825673534072,1.0022522522522521,0.7675217163097319,0.22161938177343987,0.4981192863528163,0.9999994398586277,2415.6,274.1674670707668,2138.0,2743.0,17613.6,1353.2190510039386,16335.0,19457.0
strong_visible_T_zone,5,5,5.0,2.0,0.005,400.0,1.0,5.0,3.0,2.0,0.8,1.0,165.492166639477,4.4288513159311576,158.21398718983514,169.8266996237994,6.046126413883605,0.1655853813669013,5.888355613193937,6.320553686572205,905.0,13.874436925511608,889.0,925.0,0.905,0.013874436925511621,0.889,0.925,12.152727593904064,2.1096498368339303,10.011261261261259,15.416666666666663,8.31896950425763e-193,0.0,3.0473445551393793e-231,4.15948474934821e-192,23558.0,547.2234461351231,22726.0,24169.0,28750.8,547.1153443287805,27944.0,29256.0
T0p5_c0p005_ratio_1e2,5,5,5.0,0.5,0.005,100.0,1.0,2.5,1.2,2.0,0.8,0.0,24.403607271859094,0.8232269006142504,23.051978084027084,25.267964570570747,41.01595484772638,1.4236837148368933,39.57580347269785,43.3802251743814,442.0,22.327113561766108,408.0,470.0,0.442,0.02232711356176611,0.408,0.47,0.9929775242116955,0.08861235498680001,0.8614864864864864,1.1084905660377358,0.5231987078823859,0.340468862977117,0.055588829891658885,0.9907986355091236,2407.4,185.0224310725594,2193.0,2663.0,17264.8,813.9574313193535,15998.0,17989.0
T0p5_c0p0005_ratio_1e3,5,5,5.0,0.5,0.0005,1000.0,1.0,2.5,1.2,2.0,0.8,0.0,25.904787627948174,1.3904771054803766,24.418346379826467,27.620980886010862,38.69088814363376,2.049674132420317,36.20436233336188,40.952814103176244,423.8,13.971399357258385,406.0,440.0,0.42379999999999995,0.01397139935725838,0.406,0.44,0.9204038744834054,0.052498883830737864,0.854377104377104,0.9821428571428569,0.8494167377959048,0.157247812897702,0.6230785069194156,0.9935334272356939,2579.2,213.43664165273967,2391.0,2917.0,18027.0,1073.4283860602904,17000.0,19639.0
T0p5_c0p00005_ratio_1e4,5,5,5.0,0.5,5e-05,10000.0,1.0,2.5,1.2,2.0,0.8,0.0,25.904787627948174,1.3904771054803766,24.418346379826467,27.620980886010862,38.69088814363376,2.049674132420317,36.20436233336188,40.952814103176244,423.8,13.971399357258385,406.0,440.0,0.42379999999999995,0.01397139935725838,0.406,0.44,0.9204038744834054,0.052498883830737864,0.854377104377104,0.9821428571428569,0.8494167377959048,0.157247812897702,0.6230785069194156,0.9935334272356939,2579.2,213.43664165273967,2391.0,2917.0,18027.0,1073.4283860602904,17000.0,19639.0
T0p5_c0p025_ratio_20,5,5,5.0,0.5,0.025,20.0,1.0,2.5,1.2,2.0,0.8,0.0,24.6628983525163,1.3081982513035169,23.171814757772033,26.47638948280096,40.637444643526344,2.139414601913027,37.769500280602806,43.155877537152804,434.4,20.983326714322494,417.0,468.0,0.43439999999999995,0.020983326714322514,0.417,0.468,0.9625514858942319,0.08456634296935707,0.8940823327615778,1.0996240601503757,0.6917774025209293,0.37310177519896026,0.07131921642921965,0.962565392557542,2406.4,111.5652275576938,2255.0,2498.0,17385.0,443.8823042203868,16812.0,17855.0
