scenario,base_scenario,replicate,seed,burn_in_deaths,analyzed_target_deaths,total_deaths_simulated,n_observed_deaths_analyzed,stopped_by_target,burn_in_time,raw_final_time,total_time_for_analyzed_1000_deaths_after_burnin,observed_death_rate_after_burnin,mean_inter_death_time_after_burnin,median_inter_death_time_after_burnin,accepted_activations_total,activation_candidates,death_candidates,activation_rejected,death_rejected,active_center_expirations,erk_zone_expirations,all_proposals,spatial_bins_per_axis_for_plot,t_zone_area,outside_t_zone_area,t_zone_observed_deaths,outside_t_zone_observed_deaths,t_zone_observed_fraction,t_zone_area_fraction,t_zone_death_density,outside_t_zone_death_density,t_zone_density_ratio,t_zone_binomial_test_k,t_zone_binomial_test_n,t_zone_binomial_null_probability_area_fraction,t_zone_binomial_observed_fraction,t_zone_binomial_p_value_greater,t_zone_binomial_significant_0p05,lambda_a_1,lambda_a_T,lambda_a_c,lambda_a_T_over_lambda_a_c,lambda_d,beta_a_R,beta_a_T,beta_d_R,beta_d_T
baseline__rep01,baseline,1,1001,500,1000,1500,1000,True,13.074848988917418,37.42176348392679,24.346914495009372,41.072966359042326,0.02434691449500937,0.01722512777540608,17337,18863,3777,1526,2277,16953,1446,41039,20,44.44444444444445,55.55555555555555,475,525,0.475,0.4444444444444445,10.687499999999998,9.450000000000001,1.1309523809523807,475,1000,0.4444444444444445,0.475,0.02806467620653908,True,5.0,0.5,0.05,10.0,1.0,2.5,1.2,2.0,0.8
baseline__rep02,baseline,2,1002,500,1000,1500,1000,True,13.8171603889631,36.60599522140232,22.788834832439218,43.881137730505216,0.02278883483243922,0.015917871436110786,16172,18299,3695,2127,2195,15780,1434,39208,20,44.44444444444445,55.55555555555555,427,573,0.427,0.4444444444444445,9.607499999999998,10.314000000000002,0.9315008726003488,427,1000,0.4444444444444445,0.427,0.8733495341640354,False,5.0,0.5,0.05,10.0,1.0,2.5,1.2,2.0,0.8
baseline__rep03,baseline,3,1003,500,1000,1500,1000,True,14.773167344323966,40.28485194340805,25.511684599084084,39.197725109689614,0.025511684599084084,0.017407549296837743,17587,19877,4012,2290,2512,17224,1453,42566,20,44.44444444444445,55.55555555555555,436,564,0.436,0.4444444444444445,9.809999999999999,10.152000000000001,0.9663120567375885,436,1000,0.4444444444444445,0.436,0.7151153977517366,False,5.0,0.5,0.05,10.0,1.0,2.5,1.2,2.0,0.8
baseline__rep04,baseline,4,1004,500,1000,1500,1000,True,13.529788787582566,36.98093097588619,23.45114218830362,42.64184626788691,0.02345114218830362,0.015090615692686882,16510,18496,3808,1986,2308,16108,1437,39849,20,44.44444444444445,55.55555555555555,416,584,0.416,0.4444444444444445,9.36,10.512,0.8904109589041095,416,1000,0.4444444444444445,0.416,0.9674976465135723,False,5.0,0.5,0.05,10.0,1.0,2.5,1.2,2.0,0.8
baseline__rep05,baseline,5,1005,500,1000,1500,1000,True,13.977213691502941,38.63757229041357,24.660358598910634,40.55091072536856,0.024660358598910633,0.017181617781323766,17220,19248,3913,2028,2413,16785,1453,41399,20,44.44444444444445,55.55555555555555,433,567,0.433,0.4444444444444445,9.742499999999998,10.206000000000001,0.9545855379188709,433,1000,0.4444444444444445,0.433,0.7762577303140478,False,5.0,0.5,0.05,10.0,1.0,2.5,1.2,2.0,0.8
higher_death_rate__rep01,higher_death_rate,1,1001,500,1000,1500,1000,True,10.8101810503096,29.56601307292146,18.755832022611862,53.31674962723109,0.018755832022611864,0.013008681976030445,13469,14886,4471,1417,2971,13046,1420,33823,20,44.44444444444445,55.55555555555555,456,544,0.456,0.4444444444444445,10.259999999999998,9.792000000000002,1.0477941176470584,456,1000,0.4444444444444445,0.456,0.24067358732729663,False,5.0,0.5,0.05,10.0,1.5,2.5,1.2,2.0,0.8
higher_death_rate__rep02,higher_death_rate,2,1002,500,1000,1500,1000,True,11.108813782468474,31.086085084899086,19.977271302430612,50.056886391603,0.019977271302430613,0.012941448189648597,13627,15563,4596,1936,3096,13275,1440,34874,20,44.44444444444445,55.55555555555555,428,572,0.428,0.4444444444444445,9.629999999999999,10.296000000000001,0.9353146853146851,428,1000,0.4444444444444445,0.428,0.8596051460596722,False,5.0,0.5,0.05,10.0,1.5,2.5,1.2,2.0,0.8
higher_death_rate__rep03,higher_death_rate,3,1003,500,1000,1500,1000,True,12.264710108618967,34.17807766064702,21.913367552028053,45.63424574638011,0.02191336755202805,0.014701244586984075,15152,17102,5061,1950,3561,14753,1451,38367,20,44.44444444444445,55.55555555555555,427,573,0.427,0.4444444444444445,9.607499999999998,10.314000000000002,0.9315008726003488,427,1000,0.4444444444444445,0.427,0.8733495341640354,False,5.0,0.5,0.05,10.0,1.5,2.5,1.2,2.0,0.8
higher_death_rate__rep04,higher_death_rate,4,1004,500,1000,1500,1000,True,12.396716355450435,34.06612501764816,21.669408662197725,46.14800595571856,0.021669408662197725,0.015362476821055182,14903,16917,5276,2014,3776,14488,1422,38103,20,44.44444444444445,55.55555555555555,472,528,0.472,0.4444444444444445,10.62,9.504000000000001,1.1174242424242422,472,1000,0.4444444444444445,0.472,0.04273593670706721,True,5.0,0.5,0.05,10.0,1.5,2.5,1.2,2.0,0.8
higher_death_rate__rep05,higher_death_rate,5,1005,500,1000,1500,1000,True,11.316811021675258,30.893754358561065,19.576943336885805,51.08049723553395,0.019576943336885803,0.013503850466559442,13784,15391,4703,1607,3203,13405,1439,34938,20,44.44444444444445,55.55555555555555,436,564,0.436,0.4444444444444445,9.809999999999999,10.152000000000001,0.9663120567375885,436,1000,0.4444444444444445,0.436,0.7151153977517366,False,5.0,0.5,0.05,10.0,1.5,2.5,1.2,2.0,0.8
larger_ERK_radius__rep01,larger_ERK_radius,1,1001,500,1000,1500,1000,True,27.665628081428533,84.56002415924867,56.89439607782013,17.576423495772772,0.05689439607782013,0.0343381258074924,39657,42839,8477,3182,6977,39234,1477,92027,20,44.44444444444445,55.55555555555555,422,578,0.422,0.4444444444444445,9.495,10.404000000000002,0.912629757785467,422,1000,0.4444444444444445,0.422,0.9280825019216852,False,5.0,0.5,0.05,10.0,1.0,2.5,1.2,1.0,0.8
larger_ERK_radius__rep02,larger_ERK_radius,2,1002,500,1000,1500,1000,True,27.9420526809596,80.60853384894422,52.66648116798462,18.98740864821417,0.05266648116798462,0.032736493540390654,37951,40574,8060,2623,6560,37551,1478,87663,20,44.44444444444445,55.55555555555555,402,598,0.402,0.4444444444444445,9.044999999999998,10.764000000000001,0.8403010033444813,402,1000,0.4444444444444445,0.402,0.9969482481550765,False,5.0,0.5,0.05,10.0,1.0,2.5,1.2,1.0,0.8
larger_ERK_radius__rep03,larger_ERK_radius,3,1003,500,1000,1500,1000,True,31.479807765877677,83.99860693919145,52.51879917331377,19.040800927301614,0.052518799173313764,0.032041129615851816,38734,41840,8425,3106,6925,38371,1482,90118,20,44.44444444444445,55.55555555555555,412,588,0.412,0.4444444444444445,9.27,10.584000000000001,0.8758503401360542,412,1000,0.4444444444444445,0.412,0.9821885897732158,False,5.0,0.5,0.05,10.0,1.0,2.5,1.2,1.0,0.8
larger_ERK_radius__rep04,larger_ERK_radius,4,1004,500,1000,1500,1000,True,29.25104589493661,79.56700721548556,50.31596132054895,19.874409109055456,0.05031596132054895,0.033561676591311596,36400,39706,7987,3306,6487,36003,1476,85172,20,44.44444444444445,55.55555555555555,427,573,0.427,0.4444444444444445,9.607499999999998,10.314000000000002,0.9315008726003488,427,1000,0.4444444444444445,0.427,0.8733495341640354,False,5.0,0.5,0.05,10.0,1.0,2.5,1.2,1.0,0.8
larger_ERK_radius__rep05,larger_ERK_radius,5,1005,500,1000,1500,1000,True,23.13342705450212,88.23703649715962,65.1036094426575,15.360131466762812,0.0651036094426575,0.035630205176577334,41328,44046,8893,2718,7393,40930,1483,95352,20,44.44444444444445,55.55555555555555,421,579,0.421,0.4444444444444445,9.472499999999998,10.422,0.9088946459412779,421,1000,0.4444444444444445,0.421,0.9364394197391296,False,5.0,0.5,0.05,10.0,1.0,2.5,1.2,1.0,0.8
shorter_ERK_duration__rep01,shorter_ERK_duration,1,1001,500,1000,1500,1000,True,10.31404468614743,27.21393045663991,16.89988577049248,59.17199758509722,0.016899885770492482,0.011365780651816593,12274,13695,2712,1421,1212,11917,1477,29801,20,44.44444444444445,55.55555555555555,437,563,0.437,0.4444444444444445,9.8325,10.134,0.9702486678507992,437,1000,0.4444444444444445,0.437,0.6931053217733262,False,5.0,0.5,0.05,10.0,1.0,2.5,1.2,2.0,2.0
shorter_ERK_duration__rep02,shorter_ERK_duration,2,1002,500,1000,1500,1000,True,10.279814490903737,26.367468770649953,16.087654279746218,62.15946604838247,0.01608765427974622,0.011447719555445879,11343,13179,2665,1836,1165,10954,1446,28244,20,44.44444444444445,55.55555555555555,430,570,0.43,0.4444444444444445,9.674999999999999,10.260000000000002,0.9429824561403506,430,1000,0.4444444444444445,0.43,0.8291825210256789,False,5.0,0.5,0.05,10.0,1.0,2.5,1.2,2.0,2.0
