base_scenario,n_replicates,t_zone_deaths_k,total_deaths_n,t_zone_area_fraction_p0,t_zone_observed_fraction,t_zone_density_ratio,binomial_p_value_greater,significant_0p05
deathERK_ld0p5_bdR4p0_bdT1p6,5,3321,5000,0.4444444444444445,0.6642,2.4724538415723645,9.063943486364025e-215,True
deathERK_ld0p5_bdR4p0_bdT0p8,5,3262,5000,0.4444444444444445,0.6524,2.3460874568469503,3.0933435918712337e-192,True
deathERK_ld0p5_bdR2p0_bdT1p6,5,3232,5000,0.4444444444444445,0.6464,2.2850678733031673,2.727850429280431e-181,True
deathERK_ld1p0_bdR4p0_bdT1p6,5,3231,5000,0.4444444444444445,0.6462,2.283069530808366,6.23403369958616e-181,True
deathERK_ld0p5_bdR1p0_bdT1p6,5,3224,5000,0.4444444444444445,0.6448,2.269144144144144,1.9805704364641846e-178,True
deathERK_ld0p5_bdR4p0_bdT0p4,5,3204,5000,0.4444444444444445,0.6408,2.229955456570156,2.2042849155111737e-171,True
deathERK_ld0p5_bdR2p0_bdT0p4,5,3170,5000,0.4444444444444445,0.634,2.165300546448087,9.477720972910879e-160,True
deathERK_ld1p0_bdR2p0_bdT0p8,5,3165,5000,0.4444444444444445,0.633,2.1559945504087192,4.4768686996478396e-158,True
deathERK_ld1p0_bdR4p0_bdT0p8,5,3158,5000,0.4444444444444445,0.6316,2.1430510314875133,9.533977814636311e-156,True
deathERK_ld2p0_bdR4p0_bdT0p8,5,3157,5000,0.4444444444444445,0.6314,2.141209983722192,2.0436036146529045e-155,True
deathERK_ld0p5_bdR1p0_bdT0p8,5,3146,5000,0.4444444444444445,0.6292,2.1210895361380797,8.475523063043546e-152,True
deathERK_ld2p0_bdR2p0_bdT1p6,5,3128,5000,0.4444444444444445,0.6256,2.0886752136752134,5.638679151764235e-146,True
deathERK_ld1p0_bdR1p0_bdT0p8,5,3128,5000,0.4444444444444445,0.6256,2.0886752136752134,5.638679151764235e-146,True
deathERK_ld0p5_bdR2p0_bdT0p8,5,3122,5000,0.4444444444444445,0.6244,2.0780085197018106,4.629115785853246e-144,True
deathERK_ld1p0_bdR4p0_bdT0p4,5,3119,5000,0.4444444444444445,0.6238,2.0727006911217436,4.146342058956218e-143,True
deathERK_ld1p0_bdR2p0_bdT0p4,5,3101,5000,0.4444444444444445,0.6202,2.041205897840969,1.8234611338941644e-137,True
deathERK_ld2p0_bdR4p0_bdT0p4,5,3099,5000,0.4444444444444445,0.6198,2.037743293003682,7.595405626216317e-137,True
deathERK_ld1p0_bdR1p0_bdT1p6,5,3089,5000,0.4444444444444445,0.6178,2.020538984824699,9.052228167696203e-134,True
deathERK_ld1p0_bdR2p0_bdT1p6,5,3070,5000,0.4444444444444445,0.614,1.9883419689119168,5.016825401486373e-128,True
deathERK_ld2p0_bdR4p0_bdT1p6,5,3066,5000,0.4444444444444445,0.6132,1.981644260599793,7.812274128939626e-127,True
deathERK_ld2p0_bdR1p0_bdT1p6,5,3031,5000,0.4444444444444445,0.6062,1.924200101574403,1.1934956663450534e-116,True
deathERK_ld2p0_bdR2p0_bdT0p8,5,3017,5000,0.4444444444444445,0.6034,1.9017902168431668,1.0609898456492517e-112,True
deathERK_ld2p0_bdR1p0_bdT0p8,5,3016,5000,0.4444444444444445,0.6032,1.9002016129032258,2.018626044458883e-112,True
deathERK_ld0p5_bdR1p0_bdT0p4,5,2984,5000,0.4444444444444445,0.5968,1.8501984126984126,1.13030821608527e-103,True
deathERK_ld1p0_bdR1p0_bdT0p4,5,2983,5000,0.4444444444444445,0.5966,1.8486613782845809,2.0922937498652596e-103,True
deathERK_ld2p0_bdR2p0_bdT0p4,5,2979,5000,0.4444444444444445,0.5958,1.8425284512617515,2.4362675800007904e-102,True
deathERK_ld2p0_bdR1p0_bdT0p4,5,2871,5000,0.4444444444444445,0.5742,1.6856505401596995,1.0151593050579606e-75,True
