activation_regime,beta_a_R,beta_a_T,erk_regime,beta_d_R,beta_d_T,lambda_d,n_replicates,pooled_t_zone_deaths_k,pooled_total_deaths_n,t_zone_area_fraction_p0,pooled_t_zone_fraction,pooled_t_zone_density_ratio,pooled_binomial_p_value_greater,significant_nominal_0p05
local_activation,5.0,3.0,reference_ERK,2.0,0.8,0.25,10,9117,10000,0.4444444444444445,0.9117,12.906285390713478,0.0,True
local_activation,5.0,3.0,reference_ERK,2.0,0.8,0.5,10,9069,10000,0.4444444444444445,0.9069,12.176423200859292,0.0,True
local_activation,5.0,3.0,reference_ERK,2.0,0.8,1.0,10,9074,10000,0.4444444444444445,0.9074,12.248920086393088,0.0,True
local_activation,5.0,3.0,reference_ERK,2.0,0.8,2.0,10,9136,10000,0.4444444444444445,0.9136,13.217592592592593,0.0,True
local_activation,5.0,3.0,reference_ERK,2.0,0.8,4.0,10,9039,10000,0.4444444444444445,0.9039,11.757284079084288,0.0,True
local_activation,5.0,3.0,strong_ERK_protection,1.0,0.4,0.25,10,9090,10000,0.4444444444444445,0.909,12.486263736263735,0.0,True
local_activation,5.0,3.0,strong_ERK_protection,1.0,0.4,0.5,10,9082,10000,0.4444444444444445,0.9082,12.366557734204793,0.0,True
local_activation,5.0,3.0,strong_ERK_protection,1.0,0.4,1.0,10,9008,10000,0.4444444444444445,0.9008,11.350806451612904,0.0,True
local_activation,5.0,3.0,strong_ERK_protection,1.0,0.4,2.0,10,8957,10000,0.4444444444444445,0.8957,10.734659635666349,0.0,True
local_activation,5.0,3.0,strong_ERK_protection,1.0,0.4,4.0,10,8950,10000,0.4444444444444445,0.895,10.654761904761905,0.0,True
local_activation,5.0,3.0,weak_ERK_protection,4.0,1.6,0.25,10,9093,10000,0.4444444444444445,0.9093,12.53169790518192,0.0,True
local_activation,5.0,3.0,weak_ERK_protection,4.0,1.6,0.5,10,9130,10000,0.4444444444444445,0.913,13.117816091954023,0.0,True
local_activation,5.0,3.0,weak_ERK_protection,4.0,1.6,1.0,10,9096,10000,0.4444444444444445,0.9096,12.577433628318586,0.0,True
local_activation,5.0,3.0,weak_ERK_protection,4.0,1.6,2.0,10,9107,10000,0.4444444444444445,0.9107,12.747760358342667,0.0,True
local_activation,5.0,3.0,weak_ERK_protection,4.0,1.6,4.0,10,9077,10000,0.4444444444444445,0.9077,12.29279523293608,0.0,True
